City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
85,Airai,TL,-8.93,125.41,66.13,70,50,7.74,Clouds
86,Syracuse,IT,37.09,15.28,75.2,83,1,5.82,Clear
87,Tasiilaq,GL,65.61,-37.64,33.8,79,0,8.05,Fog
88,Kyabram,AU,-36.32,145.05,48.99,76,83,3.0,Clouds
89,Kavieng,PG,-2.57,150.8,83.26,73,29,5.26,Rain
90,Cherskiy,RU,68.75,161.3,41.88,86,98,6.85,Clouds
91,Mao,ES,39.89,4.27,73.4,88,0,4.7,Clear
92,Bluff,NZ,-46.6,168.33,45.0,72,63,11.01,Rain
93,Kitimat,CA,54.05,-128.65,60.01,90,70,5.21,Rain
94,Denpasar,ID,-8.65,115.22,78.8,94,40,12.75,Clouds
95,Nalut,LY,30.33,10.85,73.56,49,0,12.66,Clear
96,Poronaysk,RU,49.22,143.12,67.93,78,66,7.9,Clouds
97,Talnakh,RU,69.49,88.4,53.6,93,69,4.47,Clouds
98,Faya,SA,18.39,42.45,71.6,68,96,3.76,Clouds
99,La Romana,DO,18.43,-68.97,82.4,78,40,6.93,Clouds
100,Eau Claire,US,44.81,-91.5,89.6,43,1,16.11,Clear
101,Leningradskiy,RU,69.38,178.42,40.87,84,98,6.4,Clouds
102,Port Elizabeth,ZA,-33.92,25.57,57.2,67,40,17.22,Clouds
103,Tigil,RU,57.8,158.67,47.44,92,100,12.8,Rain
104,Khash,IR,28.22,61.22,68.67,35,45,6.46,Clouds
105,Popondetta,PG,-8.75,148.25,89.37,50,6,2.64,Clear
106,Ferme-Neuve,CA,46.7,-75.45,50.4,70,34,3.69,Clouds
107,Faanui,PF,-16.48,-151.75,77.76,78,24,9.89,Rain
108,Aksay,RU,47.26,39.87,59.0,62,11,4.47,Clouds
109,Hofn,IS,64.25,-15.21,50.67,83,0,6.78,Clear
110,Souillac,MU,-20.52,57.52,71.6,68,75,11.41,Rain
111,Kaitangata,NZ,-46.28,169.85,46.0,72,97,4.0,Rain
112,Srednekolymsk,RU,67.45,153.68,49.59,60,93,10.16,Clouds
113,Picota,PE,-6.92,-76.33,78.31,58,11,1.54,Clouds
114,Codrington,AU,-38.27,141.97,55.98,79,20,17.27,Clouds
115,Hanzhong,CN,33.07,107.03,71.82,83,0,1.32,Clear
116,Sitka,US,57.05,-135.33,60.8,77,75,5.82,Clouds
117,Vizinga,RU,61.07,50.1,58.87,96,100,8.39,Rain
118,Yatou,CN,37.15,122.38,76.15,92,90,11.52,Clouds
119,Half Moon Bay,US,37.46,-122.43,72.0,87,90,11.41,Mist
120,Puerto Ayora,EC,-0.74,-90.35,66.99,91,77,4.0,Clouds
121,Saint-Pierre,RE,-21.34,55.48,66.2,72,41,5.82,Clouds
122,Bilibino,RU,68.05,166.44,41.56,89,100,0.4,Rain
123,Saint-Philippe,RE,-21.36,55.77,68.0,72,51,5.82,Clouds
124,Christchurch,NZ,-43.53,172.63,55.0,76,10,6.93,Rain
125,Carballo,ES,43.21,-8.69,69.8,94,90,2.75,Clouds
126,Kununurra,AU,-15.77,128.73,82.4,22,16,9.17,Clouds
127,Nanortalik,GL,60.14,-45.24,45.82,80,0,1.54,Clear
128,Cabo San Lucas,MX,22.89,-109.91,91.0,59,75,10.29,Clouds
129,Goundam,ML,16.41,-3.67,89.76,49,49,9.01,Clouds
130,Namibe,AO,-15.2,12.15,61.2,87,36,12.91,Clouds
131,Cape Town,ZA,-33.93,18.42,57.0,76,0,8.05,Clear
132,Edd,ER,13.93,41.69,92.32,53,98,5.37,Clouds
133,Grindavik,IS,63.84,-22.43,48.2,76,75,3.36,Clouds
134,Pervomayskoye,RU,43.92,46.71,65.68,87,0,8.03,Clear
135,Saskylakh,RU,71.92,114.08,61.3,46,3,4.92,Clear
136,Arraial Do Cabo,BR,-22.97,-42.03,67.87,85,0,10.42,Clear
137,Saint-Augustin,CA,51.23,-58.65,52.81,69,7,22.28,Clear
138,Sept-Iles,CA,50.2,-66.38,46.99,87,90,11.41,Rain
139,Jaguaquara,BR,-13.53,-39.97,56.23,91,0,3.09,Clear
140,Hobart,AU,-42.88,147.33,54.0,62,75,9.17,Clouds
141,Canmore,CA,51.08,-115.35,73.4,28,1,11.41,Clear
142,Carnarvon,AU,-24.87,113.63,59.0,82,0,6.93,Clear
143,Cap Malheureux,MU,-19.98,57.61,70.0,74,3,8.01,Clear
144,Te Anau,NZ,-45.42,167.72,45.54,76,66,0.6,Clouds
145,Chuy,UY,-33.7,-53.46,61.81,93,98,6.11,Rain
146,Chumikan,RU,54.72,135.31,53.01,94,99,9.1,Clouds
147,Hasaki,JP,35.73,140.83,89.01,83,40,4.7,Clouds
148,Batagay-Alyta,RU,67.8,130.41,47.23,51,1,1.68,Clear
149,Quatre Cocos,MU,-20.21,57.76,71.6,68,75,11.41,Rain
150,Juruti,BR,-2.15,-56.09,84.16,51,41,2.64,Clouds
151,Kahului,US,20.89,-156.47,91.4,41,40,28.86,Clouds
152,Westport,US,41.14,-73.36,77.0,31,1,11.41,Clear
153,Bilma,NE,18.69,12.92,89.19,38,99,8.61,Clouds
154,Dikson,RU,73.51,80.55,44.2,100,100,5.59,Rain
155,East Wenatchee Bench,US,47.43,-120.28,88.0,13,1,5.82,Clear
156,Kapaa,US,22.08,-159.32,84.99,70,75,12.75,Rain
157,Kenai,US,60.55,-151.26,55.99,82,90,4.7,Rain
158,Abapo,BO,-18.83,-63.47,73.33,55,0,5.21,Clear
159,Hithadhoo,MV,-0.6,73.08,82.76,63,94,2.95,Clouds
160,Manono,CD,-7.3,27.42,76.08,52,62,0.58,Clouds
161,Saldanha,ZA,-33.01,17.94,48.2,81,0,4.7,Clear
162,Bambous Virieux,MU,-20.34,57.76,71.6,68,75,11.41,Rain
163,Tiksi,RU,71.69,128.87,44.11,66,9,8.5,Clear
164,Upernavik,GL,72.79,-56.15,43.14,69,98,6.17,Clouds
165,Prince Rupert,CA,54.32,-130.32,60.8,77,20,4.7,Clouds
166,Noyabrsk,RU,63.2,75.45,50.16,88,1,6.02,Clear
167,Riyadh,SA,24.69,46.72,84.2,26,69,3.71,Clouds
168,Paderborn,DE,51.72,8.75,57.99,87,90,10.29,Rain
169,Nikolskoye,RU,59.7,30.79,55.99,76,94,4.47,Clouds
170,Yellowknife,CA,62.46,-114.35,57.2,93,75,8.34,Rain
171,Ternate,ID,0.8,127.4,82.06,73,6,7.54,Clear
172,Yuxia,CN,34.06,108.63,77.0,93,0,4.47,Clear
173,Palana,RU,59.12,159.97,50.27,70,100,19.46,Clouds
174,Hazorasp,UZ,41.32,61.07,57.2,71,0,2.24,Clear
175,Egvekinot,RU,66.32,-179.17,48.88,69,86,5.41,Clouds
176,Floresta,BR,-8.6,-38.57,72.25,65,21,17.9,Clouds
177,Atar,MR,20.52,-13.05,96.08,33,39,3.13,Rain
178,Gat,IL,31.61,34.76,77.0,78,0,2.42,Clear
179,Armizonskoye,RU,55.95,67.67,50.23,92,0,4.59,Clear
180,Alofi,NU,-19.06,-169.92,78.8,65,75,10.29,Clouds
181,Yokadouma,CM,3.52,15.05,69.06,95,59,1.88,Clouds
182,Lata,PT,40.16,-8.33,70.0,88,7,3.0,Clear
183,Longyearbyen,SJ,78.22,15.64,39.2,69,75,10.29,Rain
184,Mecca,SA,21.43,39.83,88.84,20,41,4.68,Clouds
185,Jamestown,US,42.1,-79.24,72.0,88,90,6.93,Clouds
186,Mount Gambier,AU,-37.83,140.77,50.0,87,75,12.75,Clouds
187,Nuevo Laredo,MX,27.48,-99.52,100.4,31,40,5.82,Clouds
188,Villa Guerrero,MX,18.87,-99.65,80.6,61,75,5.82,Clouds
189,Phuthaditjhaba,ZA,-28.52,28.82,46.85,79,99,4.21,Rain
190,Idrinskoye,RU,54.37,92.14,49.95,89,44,3.06,Clouds
191,Melaka,MY,2.2,102.24,75.2,94,20,3.53,Clouds
192,Fairbanks,US,64.84,-147.72,57.99,87,90,5.82,Rain
193,Meulaboh,ID,4.14,96.13,76.57,87,28,3.94,Clouds
194,Coruripe,BR,-10.13,-36.18,71.37,74,1,8.75,Clear
195,Castro,BR,-24.79,-50.01,52.18,84,0,4.5,Clear
196,Foca,TR,38.67,26.76,77.0,68,0,11.41,Clear
197,Alice Springs,AU,-23.7,133.88,75.0,22,0,11.41,Clear
198,Maputo,MZ,-25.97,32.59,64.0,67,20,13.87,Clouds
